Sim_num	Dist	Asc_NAF	Asc_NEU	Asc_NCHB	daf	Log10_NAF	Log10_NEU	Log10_NCHB	NEU_AS	TEU_AS	TAF	LinearCombination_0	LinearCombination_1	LinearCombination_2	LinearCombination_3	LinearCombination_4	LinearCombination_5	LinearCombination_6	LinearCombination_7
468	1.21779	4	10	7	0.0644993	4.70053	4.13136	3.79421	2766	1480	2622	-5.87496	-3.96884	0.556253	0.474836	-1.87911	-1.32412	-0.443965	1.69406
3401	0.813615	8	19	9	0.0911396	4.79532	4.58726	3.51851	3459	1455	2768	-9.39676	-4.90046	-1.23334	1.9207	-4.76963	-0.662639	0.159879	2.20884
4494	1.05973	9	7	17	0.0635954	4.90736	4.06837	3.64483	1700	1534	2177	-7.24355	-3.38836	0.449346	-0.0960297	-3.10739	0.0449802	-0.438476	2.15806
6604	1.24443	9	13	7	0.0854584	4.76939	4.74688	3.91307	2900	1488	2672	-7.2053	-6.89906	0.324905	1.37382	-2.14769	0.517207	1.08597	1.74805
9840	1.1475	15	7	20	0.0864172	4.7408	4.44059	3.61321	2573	1594	2574	-10.9661	-3.80369	-0.775156	1.15318	-3.52053	-1.34549	0.616397	1.59759
12067	0.965469	8	17	12	0.0825736	4.77707	3.97382	3.75982	3582	1278	2569	-8.92308	-5.63859	-0.549805	-1.60427	-2.59635	-0.205904	0.565129	1.85018
14350	1.01519	3	5	5	0.0787013	4.51818	4.24716	3.36154	4744	558	2505	-6.04229	-5.75851	-1.91271	-0.158887	-2.95411	0.618769	-0.309166	1.38791
18727	1.01303	9	16	15	0.0814318	4.49058	4.76199	3.61045	2425	1295	2549	-6.37559	-4.65571	-2.32878	1.48151	-4.01877	-0.0304203	0.273685	1.37465
19045	1.33601	5	17	18	0.0753745	4.7736	4.66694	3.81611	4066	1313	3630	-5.99738	-6.74056	-2.63028	0.00864335	-2.5584	-1.18181	-0.389193	3.14867
23210	0.852666	9	20	16	0.0684245	4.88829	3.93757	3.80475	4036	1564	3147	-6.7326	-4.77263	0.107634	-0.951127	-2.7664	-1.06916	-0.759537	2.3393
24915	1.20014	2	17	17	0.0955352	4.76394	4.6087	3.60358	4533	850	3404	-8.13415	-6.25161	-3.67343	-0.434849	-2.93632	-0.539746	0.0569204	1.59143
26610	1.29001	10	10	10	0.070387	4.785	4.15521	3.42374	4107	1073	2437	-7.43363	-3.29765	0.180275	1.55513	-4.15138	0.571137	0.357827	1.82147
28752	0.990213	9	14	19	0.0800857	4.61022	4.59264	3.61331	3343	953	2077	-5.72828	-7.45038	0.0405888	0.958331	-2.31632	-0.170959	-1.27349	1.75794
32986	1.10544	9	11	10	0.0749991	4.97425	4.7516	3.70174	2898	1436	2760	-6.84343	-5.08259	-0.117925	1.86152	-2.6245	0.017114	1.11786	1.72642
36362	1.02916	3	6	20	0.0707232	4.6509	4.03205	3.62992	3504	1457	2764	-8.53998	-3.95736	-0.617819	-1.22589	-3.16234	-1.33834	0.0356863	1.42212
36752	1.11956	11	8	12	0.087941	4.67218	4.51372	3.59715	4999	958	3079	-7.92251	-5.21678	-0.942218	1.27731	-2.20827	-0.420253	-0.498734	1.21791
37372	1.04038	10	7	17	0.0899242	4.75263	4.95693	3.35813	4132	940	2610	-7.66666	-5.44398	-2.24213	1.05113	-5.05702	0.0680548	-0.127442	2.64794
39042	1.32188	10	6	18	0.0620351	4.61831	4.83441	3.46909	4264	1487	3145	-5.33975	-4.01631	-0.0754907	2.7757	-5.07338	-0.908969	-0.201061	1.65185
42722	1.35873	2	2	15	0.0947012	4.82785	4.23302	3.35392	4725	1471	2647	-6.80544	-4.0675	-0.260318	0.0902499	-5.83232	-1.18361	-1.09242	2.24068
43798	1.09042	2	3	18	0.0706617	4.59172	4.77129	3.48173	4293	1262	3141	-3.02479	-5.26538	-1.04214	0.599314	-3.57658	-1.5629	-0.718047	1.09638
48566	1.26323	4	13	9	0.098802	4.45837	4.25624	3.71466	4292	1152	3298	-4.36959	-5.83872	-2.75743	-0.392179	-3.13049	-0.60136	1.48404	1.64304
51506	1.10119	2	11	17	0.0944828	4.94678	4.46283	3.52375	4761	995	2569	-9.94306	-6.35933	-0.823214	0.72318	-3.06659	-1.23105	-1.42713	1.504
53204	0.657411	12	12	14	0.0935931	4.54964	4.77223	3.49402	4627	1009	2447	-5.03451	-6.91665	0.283354	1.42143	-3.50191	0.580789	0.00793254	2.12754
55113	1.24541	3	20	4	0.0853689	4.78873	3.91714	4.00877	3743	1469	3411	-5.1157	-6.37777	-1.33189	-2.39127	-2.26822	-0.626694	-0.32323	2.38597
58060	1.0024	20	8	19	0.0925599	4.58152	4.98313	3.55388	4121	1006	2979	-6.13661	-4.49608	-0.777595	1.41055	-3.1732	0.562979	0.518533	2.46606
60173	0.950404	4	6	18	0.0799551	4.27882	4.46512	3.51865	3910	991	2570	-4.42219	-6.75146	-1.79768	-0.367318	-3.26361	-0.36011	0.679301	1.05701
63497	0.939818	4	12	14	0.0916223	4.2656	4.31681	3.68708	3970	1315	3188	-0.486754	-6.33357	-1.36008	-0.0863899	-3.29166	-1.23556	-0.303774	1.6341
65671	1.06577	14	19	15	0.0866985	4.89247	4.41669	3.93308	2752	1517	2435	-9.99995	-7.86492	0.151095	-0.0979011	-1.76789	-0.344997	0.587565	2.23607
67156	0.77144	6	4	17	0.0991446	4.85898	4.63445	3.53908	4735	1582	2955	-8.67218	-5.3567	-0.876387	0.656107	-4.77387	-1.47037	1.10172	1.65337
68796	1.34727	4	14	15	0.074508	4.57101	4.17394	3.65667	3196	1579	3398	-2.22311	-4.16303	-0.883098	-0.561203	-3.54373	-1.02094	-0.354203	2.95988
70634	1.21988	2	6	4	0.0982966	4.36553	4.20639	3.63998	4239	1046	2338	-6.37306	-6.95831	-0.594105	0.319979	-3.12342	-0.149137	1.95685	1.52032
71718	0.757123	5	19	8	0.0662393	4.96748	4.32687	3.92324	2288	1596	2727	-8.07252	-6.09056	-0.686028	0.216455	-2.46125	0.254807	0.821932	1.85851
74099	0.892508	5	19	8	0.0922937	4.91096	4.23872	3.67761	2855	1305	2244	-7.36751	-6.47963	0.838619	0.751616	-2.74026	0.388306	-0.390534	1.61331
75413	1.3568	7	20	13	0.0793575	4.86225	4.65629	4.16738	4635	1443	3356	-8.07239	-8.762	-1.20895	-0.10977	-1.16297	-1.89101	-0.16775	2.49036
80453	0.953319	8	20	12	0.0760603	4.83537	4.57334	3.47436	4573	1079	3271	-7.91758	-4.10901	-2.12753	1.90037	-4.30168	-0.515128	-0.353343	1.9232
80735	0.436262	5	3	9	0.0933129	4.74885	4.51499	3.59693	4677	1171	2925	-6.7147	-5.45475	-0.379504	1.17761	-2.92073	-0.329345	0.492876	2.17062
82654	0.887305	6	20	18	0.0883314	4.45271	4.09082	3.62014	2050	1462	2014	-5.34864	-6.11783	0.979138	0.449168	-3.88738	-0.258061	-0.63388	1.26295
85873	1.01377	16	16	20	0.0852432	4.81595	4.65813	3.55931	4994	1221	2763	-9.12498	-6.13876	-0.120324	1.94722	-3.4633	-0.390533	0.804575	1.24442
88264	1.33736	7	16	19	0.0918366	4.52599	4.56265	3.48116	3433	864	2863	-3.33077	-5.29252	-3.03227	-0.50044	-3.44311	-0.0334312	-0.950412	2.15631
90541	1.02912	2	15	9	0.0953433	4.89256	4.09844	3.60853	4865	1119	2398	-7.18994	-6.66871	0.678351	0.610546	-3.51398	-0.431377	-1.63813	2.03345
94201	1.37136	3	2	8	0.0897135	4.91763	4.68168	3.63949	2364	1264	2123	-11.6773	-5.71218	-2.1951	0.149935	-3.23433	-0.59496	0.927715	2.70266
94514	1.1762	2	8	18	0.0975166	4.96009	4.93685	3.64335	1870	1351	2090	-12.3488	-6.46837	-2.47491	0.0473608	-3.23311	-1.28537	0.11536	1.61212
96458	0.897493	9	17	15	0.0966439	4.89151	4.64558	3.48515	3242	1036	2166	-9.01471	-5.70811	-0.771562	1.94457	-3.59507	-0.114313	-0.913195	1.70453
96866	1.11606	8	12	15	0.0767212	4.86411	4.32601	3.78219	3435	1185	2796	-7.99634	-4.75511	-0.593671	0.924633	-1.62594	-1.00305	-0.725417	1.97092
100655	1.3933	17	5	20	0.0992154	4.5568	4.02078	3.3897	4347	1207	2100	-9.35561	-3.97606	0.164517	0.358237	-5.20259	0.109166	0.893307	1.61082
102408	0.675189	16	14	16	0.0879313	4.62813	4.58668	3.61542	4344	1241	2584	-6.94419	-6.5904	0.105476	1.43761	-3.78398	-0.0350029	0.868839	2.56642
102771	1.20335	9	18	19	0.0827298	4.46669	4.17371	3.71875	3928	1146	3437	-3.91065	-4.75817	-1.81362	-0.66533	-2.00457	-1.20348	-0.267619	1.46781
103094	1.24596	8	18	6	0.0632168	4.80753	4.54187	3.81285	4909	1416	3907	-4.35515	-4.89006	-1.45377	1.45631	-2.13043	-2.24152	-0.69412	1.87264
